Fill , Delivered Lumi 
5258,378.967
5257,431.374
5256,96.376
5254,216.81
5253,447.016
5251,241.172
5247,7.117
5246,0.022
5229,187.982
5223,14.806
5222,27.585
5219,108.289
5213,34.283
5211,430.896
5210,124.081
5209,38.707
5206,103.881
5205,223.483
5199,519.335
5198,448.123
5197,182.217
5196,0
5194,0.003
5187,295.631
5183,313.894
5181,369.778
5179,150.325
5173,436.017
5170,21.286
5169,29.857
5163,352.977
5162,36.914
5161,340.219
5154,366.448
5151,54.905
5149,0.039
5117,65.705
5116,163.651
5112,115.813
5111,485.26
5110,34.19
5109,409.878
5108,150.014
5107,197.637
5106,514.23
5105,652.244
5102,540.602
5101,181.752
5097,549.478
5096,517.413
5095,570.92
5093,552.258
5091,311.834
5085,535.054
5083,381.34
5080,505.637
5078,564.051
5076,538.83
5073,496.705
5072,171.289
5071,356.682
5069,556.999
5068,122.146
5060,121.177
5059,100.022
5056,19.302
5052,363.383
5048,254.394
5045,710.548
5043,547.426
5038,85.638
5030,522.994
5029,144.107
5028,107.254
5027,203.426
5026,402.992
5024,198.457
5021,201.713
5020,406.472
5017,488.096
5013,435.666
5005,48.61
4990,235.906
4988,353.933
4985,308.49
4984,7.982
4980,352.759
4979,249.32
4976,57.927
4965,158.556
4964,204.152
4961,137.517
4960,6.677
4958,103.054
